city,years,smartmeter_cut,smartmeter_cut_count,companies
'T LOO OLDEBROEK,2014,15,4,liander
'T LOO OLDEBROEK,2015,5,14,liander
'T LOO OLDEBROEK,2015,15,4,liander
'T LOO OLDEBROEK,2015,25,2,liander
'T LOO OLDEBROEK,2016,5,13,liander
'T LOO OLDEBROEK,2016,15,4,liander
'T LOO OLDEBROEK,2016,25,3,liander
'T LOO OLDEBROEK,2017,5,11,liander
'T LOO OLDEBROEK,2017,15,5,liander
'T LOO OLDEBROEK,2017,25,3,liander
'T LOO OLDEBROEK,2017,35,2,liander
'T LOO OLDEBROEK,2018,5,7,liander
'T LOO OLDEBROEK,2018,15,7,liander
'T LOO OLDEBROEK,2018,25,5,liander
'T LOO OLDEBROEK,2018,35,2,liander
'T LOO OLDEBROEK,2019,5,5,liander
'T LOO OLDEBROEK,2019,15,7,liander
'T LOO OLDEBROEK,2019,25,6,liander
'T LOO OLDEBROEK,2019,35,2,liander
'T LOO OLDEBROEK,2019,45,1,liander
'T VELD,2010,5,39,liander
'T VELD,2011,5,39,liander
'T VELD,2012,5,39,liander
'T VELD,2013,5,39,liander
'T VELD,2014,5,34,liander
'T VELD,2014,15,4,liander
'T VELD,2014,25,1,liander
'T VELD,2015,5,29,liander
'T VELD,2015,15,5,liander
'T VELD,2015,25,6,liander
'T VELD,2015,45,1,liander
'T VELD,2016,5,25,liander
'T VELD,2016,15,7,liander
'T VELD,2016,25,8,liander
'T VELD,2016,45,1,liander
'T VELD,2017,35,1,liander
'T VELD,2017,45,1,liander
'T VELD,2017,55,5,liander
'T VELD,2017,65,5,liander
'T VELD,2017,75,17,liander
'T VELD,2017,85,7,liander
'T VELD,2017,95,5,liander
'T VELD,2018,35,1,liander
'T VELD,2018,55,7,liander
