city,years,companies,annual_consume
BUDEL-SCHOOT,2014,enexis,214.025
BUDEL-SCHOOT,2015,enexis,206.085
BUDEL-SCHOOT,2016,enexis,195.278
BUDEL-SCHOOT,2017,enexis,198.95
BUDEL-SCHOOT,2018,enexis,209.208
BUDEL-SCHOOT,2019,enexis,210.579
BUGGENUM,2010,enexis,94.401
BUGGENUM,2011,enexis,95.414
BUGGENUM,2012,enexis,91.028
BUGGENUM,2013,enexis,108.973
BUGGENUM,2014,enexis,106.753
BUGGENUM,2015,enexis,99.639
BUGGENUM,2016,enexis,102.63
BUGGENUM,2017,enexis,96.508
BUGGENUM,2018,enexis,109.492
BUGGENUM,2019,enexis,107.748
BUINEN,2010,enexis,120.63
BUINEN,2011,enexis,120.418
BUINEN,2012,enexis,107.548
BUINEN,2013,enexis,118.467
BUINEN,2014,enexis,117.2
BUINEN,2015,enexis,112.514
BUINEN,2016,enexis,112.599
BUINEN,2017,enexis,111.443
